KIT ID, PM2.5, AQI PM2.5, PM10, AQI PM10, CO, AQI CO, latitude, longitude
1037,68.12,130.20000000000002,105.59,77.795,1000.8720590778292,5.004360295389146,21.05226,105.8117
1038,NA,NA,NA,NA,NA,NA,21.00257,105.84653
1039,72.34,137.23333333333335,117.7,83.85,1012.2145159630606,5.061072579815304,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,79.81,149.68333333333334,131.51,90.755,950.1618648014627,4.750809324007314,20.99603,105.84455
1043,133.43,188.1642857142857,203.1,126.55,846.2863060686016,4.2314315303430075,21.04169108,105.80900309
1044,NA,NA,NA,NA,NA,NA,21.0822951059501,105.773392865282
1045,109.43,171.02142857142857,116.93,83.465,NA,NA,21.02431735,105.82139752
1046,84.3,153.07142857142856,106.4,78.2,615.219732241251,3.076098661206255,21.03793057,105.78543088
1047,86.73,154.80714285714285,120.94,85.47,696.8902615728662,3.484451307864331,21.03281213,105.81257742
1051,94.99,160.70714285714286,121.03,85.515,602.5496161073826,3.012748080536913,20.9313357,105.79145879
1053,86.69,154.77857142857144,124.3,87.15,NA,NA,21.01489,105.79834
1055,NA,NA,NA,NA,NA,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,NA,NA,NA,NA,NA,NA,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084,NA,NA,NA,NA,NA,NA,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,NA,NA,NA,NA,NA,NA,21.14768475,105.9158227
1091,NA,NA,NA,NA,NA,NA,21.1315376994108,105.778015368578
