,PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO 
 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
2020-03-31 12:00:00+07:00 , 17.47 , 15.67 , 27.4 , 18.0 , 81.0 , 814.3335728017003 , 0.0 , 0.0 , 0.0
2020-03-31 13:00:00+07:00 , 12.93 , 10.87 , 18.53 , 18.0 , 81.0 , 812.0369199092737 , 0.0 , 0.0 , 0.0
2020-03-31 14:00:00+07:00 , 8.13 , 7.0 , 13.13 , 18.21 , 81.0 , 803.2916466136223 , 0.0 , 0.0 , 0.0
2020-03-31 15:00:00+07:00 , 12.86 , 11.05 , 19.48 , 18.63 , 81.0 , 812.4904179433993 , 0.0 , 0.0 , 0.0
2020-03-31 16:00:00+07:00 , 13.33 , 12.0 , 23.0 , 19.0 , 81.0 , 807.9293350805239 , 0.0 , 0.0 , 0.0
2020-03-31 17:00:00+07:00 , 11.0 , 8.55 , 17.45 , 19.0 , 81.0 , 811.9559130379943 , 0.0 , 0.0 , 0.0
2020-03-31 18:00:00+07:00 , 0.0 , 0.0 , 0.0 , 19.0 , 81.0 , 814.5272715932912 , 0.0 , 0.0 , 0.0
2020-03-31 19:00:00+07:00 , 0.0 , 0.0 , 0.0 , 19.0 , 81.0 , 813.4111324401678 , 0.0 , 0.0 , 0.0
2020-03-31 20:00:00+07:00 , 20.91 , 20.18 , 39.09 , 19.0 , 80.95 , 808.0706185176281 , 0.0 , 0.0 , 0.0
2020-03-31 21:00:00+07:00 , 29.5 , 30.0 , 52.5 , 19.0 , 81.0 , 812.9025120665926 , 0.0 , 0.0 , 0.0
2020-03-31 22:00:00+07:00 , 32.14 , 32.43 , 56.14 , 19.0 , 81.0 , 809.0313458899368 , 0.0 , 0.0 , 0.0
2020-03-31 23:00:00+07:00 , 23.0 , 22.0 , 38.0 , 19.0 , 81.0 , 808.0141051427864 , 48.539946289062506 , 42.33340332031249 , 4.985109607129667
2020-04-01 00:00:00+07:00 , 24.0 , 22.0 , 38.0 , 18.46 , 81.0 , 805.5188054388911 , 46.266147460937496 , 40.163356933593754 , 4.978917509657057
2020-04-01 01:00:00+07:00 , 23.0 , 26.0 , 44.0 , 18.0 , 81.0 , 805.912512196136 , 49.130419921875 , 42.07941650390625 , 4.989221257690525
2020-04-01 02:00:00+07:00 , 0.0 , 0.0 , 0.0 , 18.0 , 81.0 , 803.8852198281298 , 0.0 , 0.0 , 4.976670751246039
2020-04-01 03:00:00+07:00 , 24.5 , 27.0 , 49.75 , 18.0 , 81.0 , 811.7108519060279 , 39.27905273437501 , 35.3916748046875 , 5.025117461437343
2020-04-01 04:00:00+07:00 , 23.0 , 24.0 , 42.0 , 18.0 , 81.0 , 804.1545803525504 , 43.6365966796875 , 38.693029785156256 , 4.978338301053348
2020-04-01 05:00:00+07:00 , 27.43 , 31.86 , 57.43 , 18.0 , 81.0 , 809.7686207562598 , 53.6762109375 , 49.0296923828125 , 5.0130935496688505
2020-04-01 06:00:00+07:00 , 0.0 , 0.0 , 0.0 , 18.0 , 81.0 , 811.8100899939723 , 0.0 , 0.0 , 5.025731821892669
2020-04-01 07:00:00+07:00 , 19.5 , 21.0 , 34.5 , 18.0 , 81.0 , 807.089192381762 , 34.419052734375 , 29.26484619140625 , 4.996505817375087
2020-04-01 08:00:00+07:00 , 29.5 , 32.5 , 60.0 , 18.0 , 81.0 , 816.9279399579598 , 49.704599609375 , 47.31382568359375 , 5.057415268231547
2020-04-01 09:00:00+07:00 , 29.0 , 33.0 , 61.0 , 18.42 , 81.0 , 813.6701758183456 , 57.8449755859375 , 51.403708496093756 , 5.029991149801537
2020-04-01 10:00:00+07:00 , 32.0 , 31.67 , 53.67 , 19.0 , 81.0 , 809.8225331377205 , 60.5845703125 , 51.615927734375 , 4.996266852670269
2020-04-01 11:00:00+07:00 , 31.94 , 33.33 , 58.5 , 19.0 , 81.0 , 810.8962872597126 , 63.6169140625 , 52.93064453125 , 5.002891467210002
2020-04-01 12:00:00+07:00 , 31.89 , 32.33 , 60.89 , 19.87 , 81.0 , 804.9107263555901 , 64.1330859375 , 54.1855029296875 , 4.951218711350462
2020-04-01 13:00:00+07:00 , 36.0 , 37.57 , 66.29 , 20.89 , 80.9 , 805.4875662641648 , 69.63019531249999 , 56.16256591796875 , 4.937579336633326
2020-04-01 14:00:00+07:00 , 38.5 , 41.0 , 71.5 , 21.0 , 81.0 , 803.6989252052525 , 75.81509765625 , 58.456282958984374 , 4.924772747554627
2020-04-01 15:00:00+07:00 , 46.0 , 49.0 , 88.0 , 21.0 , 81.0 , 810.5887754414075 , 86.90095703125 , 63.72510498046875 , 4.966991227153916
2020-04-01 16:00:00+07:00 , 52.5 , 58.5 , 103.67 , 20.85 , 81.0 , 802.4242427732144 , 101.62051595052083 , 70.27748901367187 , 4.919470614384361
2020-04-01 17:00:00+07:00 , 56.0 , 63.5 , 114.5 , 20.0 , 81.0 , 810.1999211268293 , 112.05377604166667 , 76.2602392578125 , 4.98154385650884
2020-04-01 18:00:00+07:00 , 50.0 , 57.33 , 105.67 , 20.0 , 81.0 , 814.2268436780489 , 112.13522135416666 , 77.04761962890625 , 5.006303537141448
2020-04-01 19:00:00+07:00 , 49.0 , 58.0 , 109.0 , 20.0 , 81.0 , 812.2415427 , 112.7300048828125 , 78.2717041015625 , 4.994096841444952
2020-04-01 20:00:00+07:00 , 55.54 , 63.15 , 110.54 , 20.0 , 81.0 , 813.4383553463416 , 117.31672363281251 , 79.26718994140626 , 5.001455487786812
2020-04-01 21:00:00+07:00 , 61.64 , 68.64 , 124.64 , 19.48 , 81.0 , 815.4198219702356 , 124.18498128255209 , 83.28987182617188 , 5.02254778348566
2020-04-01 22:00:00+07:00 , 53.0 , 58.0 , 117.0 , 19.0 , 81.0 , 815.2760738099435 , 118.7527140299479 , 83.39166015625 , 5.029912921253647
2020-04-01 23:00:00+07:00 , 61.75 , 68.0 , 121.25 , 19.0 , 81.0 , 817.8333040215302 , 124.36957600911458 , 84.50475952148437 , 5.0456899637759065
2020-04-02 00:00:00+07:00 , 49.0 , 53.25 , 95.5 , 18.79 , 81.0 , 814.6748884425397 , 114.88654378255208 , 78.62366333007813 , 5.029819337146265
2020-04-02 01:00:00+07:00 , 47.83 , 53.0 , 97.33 , 18.03 , 81.0 , 818.6015233704927 , 109.93562825520834 , 76.14028564453125 , 5.067253914723686
2020-04-02 02:00:00+07:00 , 39.0 , 42.0 , 80.0 , 18.0 , 81.0 , 820.6706335604329 , 97.9513671875 , 70.56577880859376 , 5.080585433975216
2020-04-02 03:00:00+07:00 , 36.09 , 36.45 , 64.45 , 18.96 , 81.0 , 815.6844492536716 , 85.41372070312501 , 63.89001831054687 , 5.033121541913527
2020-04-02 04:00:00+07:00 , 33.0 , 35.0 , 62.5 , 19.0 , 81.0 , 812.987282128855 , 77.692578125 , 60.063681640625006 , 5.015792032366321
2020-04-02 05:00:00+07:00 , 28.75 , 29.81 , 52.44 , 19.0 , 81.0 , 813.6795709706657 , 68.6407861328125 , 55.63485229492187 , 5.020063165424834
2020-04-02 06:00:00+07:00 , 25.67 , 25.67 , 47.0 , 18.98 , 81.0 , 815.162338055643 , 59.976396484375 , 54.121953125 , 5.029555532376668
2020-04-02 07:00:00+07:00 , 26.77 , 25.0 , 44.68 , 19.0 , 81.0 , 816.9997317426152 , 54.9740380859375 , 49.387670898437506 , 5.040547170909535
2020-04-02 08:00:00+07:00 , 24.29 , 22.86 , 42.43 , 19.0 , 81.0 , 814.5837849681328 , 50.331601562500005 , 45.895341796874995 , 5.025641788195135
2020-04-02 09:00:00+07:00 , 25.0 , 23.83 , 40.67 , 19.0 , 81.0 , 809.0030892025159 , 48.979042968749994 , 43.26745605468751 , 4.991211225784683
2020-04-02 10:00:00+07:00 , 23.0 , 20.0 , 32.43 , 19.0 , 81.0 , 815.9824909954648 , 44.47536132812499 , 37.83444580078125 , 5.034271220292947
2020-04-02 11:00:00+07:00 , 18.5 , 15.5 , 26.0 , 19.0 , 81.0 , 814.555528280712 , 37.7210791015625 , 31.902421875000005 , 5.025467456233564
2020-04-02 12:00:00+07:00 , 25.0 , 23.5 , 39.83 , 19.27 , 81.0 , 817.7557087730321 , 42.347539062500005 , 35.85455322265624 , 5.040552841344112
2020-04-02 13:00:00+07:00 , 26.0 , 24.0 , 42.0 , 20.0 , 81.0 , 816.0995034658538 , 45.160830078124995 , 38.91539550781249 , 5.017817654358709
2020-04-02 14:00:00+07:00 , 40.0 , 43.0 , 72.0 , 20.0 , 81.0 , 814.804129778049 , 65.57016113281249 , 52.72396606445313 , 5.009853001847521
2020-04-02 15:00:00+07:00 , 40.8 , 45.6 , 81.8 , 20.0 , 81.0 , 814.7055687365854 , 78.37618164062499 , 59.308049316406255 , 5.0092469956781915
2020-04-02 16:00:00+07:00 , 45.2 , 52.1 , 91.7 , 20.0 , 81.17 , 818.1552051878049 , 92.73295491536459 , 65.07520996093749 , 5.030457211604725
