KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 29.13 , 30.64 , 51.76 , 25.05 , 82.07 , 793.9877252435614 , 60.747109374999994 , 50.64623779296875 , 4.799188512558831,21.05226,105.8117
1038, 34.0 , 35.75 , 62.0 , 25.4 , 82.36 , 613.9202253695362 ,NA,NA, 3.706436173960327,21.00257,105.84653
1039, 30.98 , 30.14 , 51.47 , 27.2 , 81.0 , 717.9831293679875 , 62.61541503906251 , 51.93276123046875 , 4.308719908902908,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.99603,105.84455
1043, 44.48 , 20.43 , 64.02 , 24.21 , 87.3 , 698.3015624287228 , 40.139003906250004 , 57.0228466796875 , 4.23274519854552,21.04169108,105.80900309
1044, 40.45 , 39.29 , 66.71 , 25.25 , 81.18 , 853.8340969407004 , 79.91084472656253 , 58.92116699218748 , 5.1574655432611785,21.0822951059501,105.773392865282
1045, 38.14 , 39.0 , 65.29 , 22.0 , 96.0 , 706.0475006420634 , 74.4734716796875 , 56.857926025390626 , 4.311742260625218,21.02431735,105.82139752
1046, 27.03 , 24.68 , 42.17 , 24.57 , 86.71 , 763.893560361699 , 47.7697119140625 , 41.25121826171875 , 4.624731232587002,21.03793057,105.78543088
1047, 13.81 , 36.81 , 55.19 , 23.99 , 87.94 , 802.2932366559197 , 65.535 , 49.771249999999995 , 4.8666898751579195,21.03281213,105.81257742
1051, 39.68 , 42.66 , 73.49 , 24.52 , 83.41 , 888.832864989754 , 82.04395019531249 , 60.23707031250001 , 5.382037222720328,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 33.0 , 33.0 , 56.0 , 27.09 , 82.32 ,NA, 41.485078125 , 42.682500000000005 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 54.7 , 56.21 , 92.66 , 25.0 , 81.0 , 994.5131182114876 , 112.96670735677085 , 72.77092895507813 , 6.012254588579667,21.08284,105.779777
1081, 37.0 , 37.7 , 65.61 , 26.36 , 79.93 , 1137.9242680583786 , 78.82193847656251 , 59.53877807617187 , 6.847999066655811,21.0181984,105.7952921
1082, 35.0 , 39.0 , 69.0 , 25.54 , 81.0 , 964.2341947579096 , 73.5341796875 , 56.631103515625 , 5.818667035451901,21.053519,105.736145
1084,NA,NA,NA, 25.14 , 81.0 , 805.7037858426029 ,NA,NA, 4.868535826602943,21.0323170270326,105.7487245065
1086, 37.0 , 38.0 , 65.0 , 25.51 , 76.99 , 815.4578841072122 , 43.4073486328125 , 43.577545166015625 , 4.921371334402994,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089, 46.67 , 47.5 , 82.17 , 25.75 , 82.75 , 976.8136615009704 , 60.2802734375 , 51.118183593750004 , 5.890436383016476,21.037454,105.784927
1090, 38.2 , 38.73 , 63.88 , 25.28 , 81.0 , 813.0296988792852 , 81.65879882812499 , 59.15872802734375 , 4.910498596159653,21.14768475,105.9158227
1091, 39.2 , 44.74 , 75.17 , 25.22 , 81.0 , 809.0430484031403 , 79.6725 , 59.197500000000005 , 4.887402834783744,21.1315376994108,105.778015368578
