KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 19.85 , 20.73 , 35.31 , 19.49 , 81.54 , 720.50972799701 , 42.73073242187499 , 36.19525146484374 , 4.437800970185138,21.05226,105.8117
1038, 28.2 , 26.8 , 48.6 , 20.16 , 82.18 , 691.5070093944461 , 50.6886962890625 , 45.1177978515625 , 4.24943682209082,21.00257,105.84653
1039, 25.34 , 25.56 , 43.36 , 20.0 , 81.0 , 745.248194802439 , 51.439477539062494 , 43.95644775390624 , 4.582185790920655,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 27.74 , 27.59 , 46.95 , 19.0 , 81.0 , 776.3383585440184 , 52.331372070312504 , 44.74267822265625 , 4.789683478207549,20.99603,105.84455
1043, 34.35 , 14.35 , 53.59 , 20.73 , 86.47 , 682.1459909804001 , 29.576323242187495 , 51.91563598632813 , 4.183781160656326,21.04169108,105.80900309
1044, 30.5 , 31.21 , 52.59 , 19.52 , 81.18 , 830.878354672874 , 62.81178222656251 , 51.58076293945312 , 5.1170645767274285,21.0822951059501,105.773392865282
1045,NA,NA,NA, 22.0 , 96.0 , 663.9674220192106 ,NA,NA, 4.054764574048054,21.02431735,105.82139752
1046, 19.43 , 17.33 , 30.49 , 20.89 , 87.69 , 692.4012165347402 , 36.5861865234375 , 31.858515625 , 4.244368358506105,21.03793057,105.78543088
1047, 10.22 , 32.0 , 49.0 , 20.73 , 89.6 , 706.2896443837791 , 67.2364892578125 , 50.73628662109376 , 4.331860550690262,21.03281213,105.81257742
1051, 28.84 , 29.9 , 50.67 , 20.88 , 87.62 , 794.1441741868689 , 56.409545898437514 , 48.802109375 , 4.868210743209842,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 28.09 , 31.09 , 55.73 , 20.36 , 83.8 ,NA, 61.061240234375 , 52.13974975585937 ,NA,20.99151816,105.7902017
1072,NA,NA,NA, 19.0 , 81.0 , 597.0638052024646 ,NA,NA, 3.683634348014542,21.0004726810695,105.764312913811
1080, 37.0 , 39.0 , 68.0 , 20.0 , 81.0 , 899.2568621634148 , 46.0742578125 , 44.88591796874999 , 5.529113716653054,21.08284,105.779777
1081, 28.92 , 30.62 , 52.85 , 20.0 , 77.66 , 1089.5782332292683 , 57.93833496093751 , 50.09872314453125 , 6.699311629628445,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084,NA,NA,NA, 19.0 , 81.0 , 803.5354201865822 ,NA,NA, 4.957477991220517,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089, 32.0 , 35.0 , 58.0 , 20.04 , 81.41 , 878.2139297360584 , 35.748046875 , 39.8642578125 , 5.398993789904892,21.037454,105.784927
1090, 26.27 , 26.07 , 43.6 , 19.54 , 81.0 , 799.6837505353445 , 57.241972656250006 , 47.54832275390626 , 4.924612314079925,21.14768475,105.9158227
1091, 28.58 , 33.72 , 57.65 , 19.99 , 81.0 , 795.4006573505322 , 63.673095703125014 , 52.235742187499994 , 4.890716874998957,21.1315376994108,105.778015368578
