KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 39.67 , 42.09 , 73.36 , 23.88 , 81.89 , 888.3161623030503 , 84.30258789062498 , 61.895239257812506 , 5.390498241551621,21.05226,105.8117
1038, 33.5 , 32.0 , 52.0 , 24.39 , 84.06 , 661.1727317554448 , 61.49267578125 , 50.27982421875 , 4.005264813906853,21.00257,105.84653
1039, 34.5 , 35.21 , 61.56 , 24.76 , 81.18 , 804.6255169195731 , 66.4944775390625 , 53.96752563476562 , 4.86822205668096,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.99603,105.84455
1043, 59.02 , 31.48 , 91.15 , 24.06 , 85.7 , 802.8125558235087 , 57.329692382812496 , 67.166904296875 , 4.868693088935333,21.04169108,105.80900309
1044, 61.75 , 66.75 , 118.25 , 24.0 , 81.0 , 1158.3243168071176 , 124.6602294921875 , 81.97005737304687 , 7.026128674813831,21.0822951059501,105.773392865282
1045, 40.0 , 45.0 , 81.0 , 22.0 , 96.0 , 654.220059174369 , 53.1774853515625 , 48.722891845703124 , 3.9952386692476947,21.02431735,105.82139752
1046, 42.33 , 40.1 , 72.13 , 23.33 , 86.0 , 882.098145461414 , 71.69848632812501 , 56.984090576171866 , 5.36269586025695,21.03793057,105.78543088
1047, 16.83 , 42.08 , 63.58 , 23.38 , 85.64 , 794.325173742876 , 78.2040185546875 , 54.46410400390624 , 4.828267785044406,21.03281213,105.81257742
1051, 47.66 , 49.46 , 84.69 , 22.73 , 88.3 , 936.6885479558437 , 95.1478125 , 65.50744140625 , 5.706124728901746,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 49.45 , 53.45 , 96.64 , 23.2 , 81.0 ,NA, 66.90898844401042 , 52.181807861328124 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 85.5 , 89.65 , 151.44 , 23.0 , 81.0 , 981.7168743331251 , 157.5094029017857 , 101.11089233398437 , 5.974976191058783,21.08284,105.779777
1081, 42.52 , 42.61 , 75.52 , 24.0 , 81.0 , 1301.0086922312469 , 86.07111328124999 , 63.033564453125 , 7.891619252080469,21.0181984,105.7952921
1082,NA,NA,NA, 23.0 , 81.0 , 921.4371139587373 ,NA,NA, 5.608098384986276,21.053519,105.736145
1084, 51.38 , 52.0 , 93.5 , 24.0 , 81.0 , 812.2674783198385 , 97.68220621744791 , 68.26505249023438 , 4.9270275502573915,21.0323170270326,105.7487245065
1086,NA,NA,NA, 24.0 , 77.0 , 804.8776722717822 ,NA,NA, 4.882202687805499,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089, 72.0 , 77.0 , 140.0 , 23.78 , 82.67 , 959.6628527839559 , 94.2926025390625 , 66.58917236328125 , 5.825406901262583,21.037454,105.784927
1090, 48.27 , 53.27 , 93.09 , 23.24 , 81.0 , 804.4069567584265 , 111.01398518880208 , 74.03839721679687 , 4.891859005243116,21.14768475,105.9158227
1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1315376994108,105.778015368578
