KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 21.63 , 21.98 , 38.02 , 18.1 , 81.38 , 742.3011266007552 , 46.52389160156251 , 40.1112548828125 , 4.59383979634063,21.05226,105.8117
1038, 27.76 , 25.24 , 44.29 , 19.26 , 82.28 , 752.1594074938442 , 53.43626953125 , 46.627255859375005 , 4.636383280329439,21.00257,105.84653
1039, 24.78 , 25.81 , 43.98 , 18.0 , 81.0 , 808.818770485935 , 51.96948242187499 , 44.78082519531249 , 5.0072132424535996,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 27.65 , 28.24 , 49.65 , 18.05 , 81.18 , 790.9335004017856 , 58.157148437499984 , 50.515432128906234 , 4.895648855533811,20.99603,105.84455
1043, 35.51 , 15.48 , 54.98 , 19.22 , 85.57 , 692.8408605593597 , 32.2122607421875 , 53.16898681640625 , 4.2713223164128475,21.04169108,105.80900309
1044, 32.24 , 32.21 , 54.72 , 18.05 , 81.18 , 859.9913501142858 , 65.65568359374998 , 53.02065673828125 , 5.323096906146012,21.0822951059501,105.773392865282
1045, 26.55 , 26.82 , 49.0 , 22.0 , 96.0 , 612.3077974154158 , 57.42328125 , 52.878203125 , 3.7392858189081255,21.02431735,105.82139752
1046, 21.21 , 19.37 , 33.32 , 19.44 , 86.38 , 730.1269306877883 , 38.89311523437502 , 33.6398486328125 , 4.497804232520438,21.03793057,105.78543088
1047, 11.44 , 33.37 , 52.33 , 19.55 , 88.4 , 714.8200263899896 , 67.9571630859375 , 51.09842163085937 , 4.4018541518157335,21.03281213,105.81257742
1051, 27.69 , 29.1 , 49.73 , 18.58 , 85.75 , 768.9526839338431 , 61.8293701171875 , 52.67282226562498 , 4.750946995386522,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 31.2 , 34.05 , 58.15 , 18.15 , 81.55 ,NA, 67.4322998046875 , 54.307639160156256 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 39.6 , 40.67 , 67.82 , 17.0 , 81.0 , 916.393087461899 , 61.492407226562506 , 50.21268676757812 , 5.692733978771778,21.08284,105.779777
1081, 30.8 , 31.6 , 56.0 , 18.05 , 81.19 , 1116.5628069381698 , 64.97970703125 , 53.50423461914063 , 6.911199772347044,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084, 33.29 , 34.71 , 60.86 , 17.0 , 81.0 , 804.4934937772877 , 63.753559570312504 , 52.682486572265624 , 4.9976014773433155,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA, 17.68 , 81.0 , 912.5615323346457 ,NA,NA, 5.655677207669847,21.037454,105.784927
1090, 33.93 , 36.36 , 60.64 , 17.12 , 81.37 , 806.4645251287078 , 68.05175292968751 , 53.34060424804687 , 5.007774628100823,21.14768475,105.9158227
1091, 30.26 , 35.83 , 61.35 , 17.0 , 81.0 , 812.374548303257 , 74.00437011718752 , 56.81287719726562 , 5.046559449094061,21.1315376994108,105.778015368578
