KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 15.41 , 12.79 , 20.24 , 23.95 , 81.41 , 671.9881262266409 , 27.244999999999997 , 22.277499999999996 , 4.076811276319047,21.05226,105.8117
1038,NA,NA,NA, 24.47 , 81.83 , 578.2406141113165 ,NA,NA, 3.501935475912071,21.00257,105.84653
1039, 16.54 , 14.88 , 24.88 , 26.1 , 81.0 , 664.7601358894736 , 35.59625976562501 , 30.124953613281246 , 4.003985249768083,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.99603,105.84455
1043, 25.88 , 6.53 , 36.29 , 23.99 , 85.29 , 627.5295547809956 , 16.0760888671875 , 39.15978515625002 , 3.806577933206231,21.04169108,105.80900309
1044, 21.52 , 19.32 , 31.97 , 24.0 , 81.0 , 724.6038204828369 , 44.0215966796875 , 36.596613769531245 , 4.395279980832766,21.0822951059501,105.773392865282
1045, 15.47 , 15.93 , 27.27 , 22.0 , 96.0 , 633.0331801070304 , 35.238437499999996 , 30.829609374999997 , 3.8658530942512157,21.02431735,105.82139752
1046, 15.67 , 12.6 , 21.0 , 23.84 , 86.47 , 672.1397324240884 , 30.7113916015625 , 25.8842138671875 , 4.0792413609870275,21.03793057,105.78543088
1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03281213,105.81257742
1051, 27.69 , 26.41 , 43.72 , 24.86 , 83.57 , 753.3994277974733 , 54.3943505859375 , 45.29895507812501 , 4.556759509873075,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 21.0 , 19.5 , 32.5 , 25.0 , 81.0 ,NA, 21.126591796875 , 17.62549560546875 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 28.24 , 26.0 , 41.97 , 25.1 , 81.18 , 942.2127901439397 , 61.120781249999986 , 49.59945068359375 , 5.694167038430203,21.08284,105.779777
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0181984,105.7952921
1082,NA,NA,NA, 24.02 , 81.0 , 897.7315589874315 ,NA,NA, 5.445066504834817,21.053519,105.736145
1084, 22.43 , 21.71 , 38.14 , 23.99 , 81.0 , 793.2362522681565 , 48.072148437500005 , 41.81152343749999 , 4.811750443781043,21.0323170270326,105.7487245065
1086,NA,NA,NA, 24.83 , 73.61 , 791.1386534502653 ,NA,NA, 4.785498098899871,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA, 24.77 , 82.17 , 922.9454534399841 ,NA,NA, 5.583905187323618,21.037454,105.784927
1090, 16.83 , 15.19 , 24.75 , 24.43 , 81.18 , 787.6664163888871 , 43.553457031250005 , 36.07886230468751 , 4.770899295612754,21.14768475,105.9158227
1091, 22.07 , 23.13 , 38.0 , 24.38 , 81.0 , 817.1399082940544 ,NA,NA, 4.950252130189274,21.1315376994108,105.778015368578
