KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 33.5 , 36.23 , 62.83 , 19.15 , 81.75 , 892.2271684507699 , 64.60173339843749 , 52.89136962890625 , 5.501844202180965,21.05226,105.8117
1038, 36.37 , 36.37 , 64.89 , 20.0 , 81.0 , 731.8157328658538 , 67.82037109374997 , 55.12141723632813 , 4.499595807272026,21.00257,105.84653
1039, 34.43 , 35.45 , 61.31 , 19.0 , 81.0 , 888.1359423245935 , 69.41530761718748 , 55.11929199218751 , 5.479427884166827,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 36.53 , 37.35 , 64.47 , 19.04 , 81.18 , 848.4886649760772 , 68.54123535156249 , 54.88013549804687 , 5.234104106950299,20.99603,105.84455
1043, 68.36 , 31.53 , 87.74 , 20.77 , 86.78 , 785.2009173295287 , 52.89192871093749 , 63.5461181640625 , 4.815188791625771,21.04169108,105.80900309
1044, 49.88 , 51.59 , 90.71 , 19.0 , 81.0 , 1045.7093597269384 , 90.87294514973959 , 63.84938476562499 , 6.4515900678726075,21.0822951059501,105.773392865282
1045,NA,NA,NA, 22.0 , 96.0 , 648.83593479092 ,NA,NA, 3.962358506624827,21.02431735,105.82139752
1046, 34.45 , 33.0 , 58.06 , 19.66 , 84.29 , 837.360181422185 , 64.72312500000002 , 53.465950927734376 , 5.154518001991865,21.03793057,105.78543088
1047, 16.84 , 40.63 , 61.68 , 20.43 , 88.13 , 816.155478747701 , 76.068828125 , 53.86602172851562 , 5.010811832066836,21.03281213,105.81257742
1051, 39.95 , 41.38 , 70.47 , 20.19 , 86.93 , 843.9662418766109 , 76.40982421875003 , 57.45086181640625 , 5.185796232664911,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 42.43 , 45.29 , 77.86 , 19.11 , 81.56 ,NA, 84.37688964843748 , 61.78230590820313 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 52.95 , 55.56 , 92.74 , 19.0 , 81.0 , 914.6407151253468 , 102.87401936848958 , 68.0660546875 , 5.642951264121284,21.08284,105.779777
1081, 41.0 , 43.29 , 75.71 , 19.0 , 79.0 , 1138.9705565594386 , 82.007265625 , 60.691468505859376 , 7.0269727070407075,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084,NA,NA,NA, 19.0 , 81.0 , 812.3797633493069 ,NA,NA, 5.012043895192527,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA, 19.0 , 81.0 , 902.3066710661477 ,NA,NA, 5.566855362895143,21.037454,105.784927
1090, 64.13 , 67.45 , 114.75 , 19.0 , 81.0 , 815.4597422781791 , 114.93105468750001 , 74.92147338867187 , 5.031046079003865,21.14768475,105.9158227
1091, 45.1 , 51.71 , 90.12 , 19.92 , 81.0 , 805.3367620749821 , 96.10076090494792 , 66.14151733398438 , 4.952994206548259,21.1315376994108,105.778015368578
