KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05226,105.8117
1038, 33.53 , 33.33 , 58.47 , 25.72 , 81.78 , 728.1124516291867 , 68.662939453125 , 55.0538427734375 , 4.391145165818221,21.00257,105.84653
1039, 39.36 , 40.44 , 74.96 , 27.0 , 81.0 , 799.7345426964017 , 100.71475585937497 , 70.32343139648438 , 4.802519834111617,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 34.94 , 33.83 , 59.31 , 25.91 , 81.38 , 794.036993668712 , 69.934072265625 , 55.95904907226563 , 4.785684538212101,20.99603,105.84455
1043, 40.03 , 15.47 , 57.02 , 24.29 , 89.21 , 658.3281871153845 , 34.34145507812501 , 54.42254028320312 , 3.989373862738397,21.04169108,105.80900309
1044, 36.99 , 35.79 , 61.1 , 26.18 , 81.0 , 872.5411423336786 , 77.18902832031252 , 57.82625732421875 , 5.254087831095827,21.0822951059501,105.773392865282
1045, 36.5 , 38.5 , 76.0 , 22.0 , 96.0 , 724.1857066818907 , 73.77602539062501 , 59.70256347656249 , 4.4225099773053715,21.02431735,105.82139752
1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03793057,105.78543088
1047, 14.0 , 37.13 , 56.0 , 24.39 , 87.04 , 713.4023395072596 , 75.09566894531251 , 53.386132812499994 , 4.3216623302065384,21.03281213,105.81257742
1051, 42.39 , 43.14 , 73.44 , 24.05 , 85.39 , 873.0031385036509 , 92.14919921875 , 64.17434326171875 , 5.29454519675473,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 39.5 , 42.08 , 72.67 , 26.35 , 82.09 ,NA, 70.891884765625 , 55.3899169921875 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 52.09 , 53.01 , 87.67 , 25.3 , 81.0 , 1009.5148745897471 , 106.07965494791665 , 69.42885131835939 , 6.096811941221662,21.08284,105.779777
1081, 48.88 , 50.64 , 87.36 , 25.84 , 81.0 , 1159.9483807456606 , 90.83613688151044 , 63.42569580078126 , 6.992680086994688,21.0181984,105.7952921
1082, 48.0 , 53.25 , 90.75 , 25.85 , 81.0 , 989.6152068645652 , 97.13907877604167 , 65.97625732421875 , 5.965637114094284,21.053519,105.736145
1084, 37.0 , 37.5 , 65.5 , 26.4 , 81.0 , 808.7772479466702 , 71.4417431640625 , 56.264952392578124 , 4.866550804571405,21.0323170270326,105.7487245065
1086,NA,NA,NA, 26.21 , 78.33 , 824.829719670397 ,NA,NA, 4.966291310885654,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA, 25.47 , 83.0 , 991.8835353707053 ,NA,NA, 5.986919935322309,21.037454,105.784927
1090, 40.55 , 41.62 , 71.22 , 25.0 , 81.0 , 818.2371666240482 , 93.18526855468751 , 65.03236328124999 , 4.946591522521995,21.14768475,105.9158227
1091, 38.0 , 42.94 , 73.81 , 25.01 , 81.0 , 844.8585752208044 , 92.49284179687503 , 64.95196533203124 , 5.1073579531996245,21.1315376994108,105.778015368578
