KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037, 5.64 , 5.06 , 10.18 , 25.81 , 81.71 , 607.2519331500704 , 12.4370751953125 , 11.60110107421875 , 3.6611496513539574,21.05226,105.8117
1038,NA,NA,NA, 24.58 , 86.33 , 582.5464942810601 ,NA,NA, 3.526709240132617,21.00257,105.84653
1039, 8.91 , 6.88 , 11.69 , 26.0 , 81.0 , 617.6284890999332 , 17.8764111328125 , 15.212580566406249 , 3.721345330412821,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 7.64 , 5.93 , 12.52 , 24.94 , 81.36 , 609.7996688549935 , 14.570400390625 , 14.439516601562495 , 3.6872402610950905,20.99603,105.84455
1043, 8.24 , 4.98 , 12.17 , 24.4 , 87.19 , 534.8465015356746 , 9.9500146484375 , 15.233952636718751 , 3.23989447215835,21.04169108,105.80900309
1044, 6.48 , 4.94 , 9.87 , 26.0 , 81.0 , 623.2027783476684 , 13.929648437500003 , 12.6718408203125 , 3.7549316296663737,21.0822951059501,105.773392865282
1045, 7.17 , 6.0 , 10.25 , 22.0 , 96.0 , 593.6801255225478 , 9.78345703125 , 8.5361328125 , 3.6255289965349835,21.02431735,105.82139752
1046, 4.58 , 4.92 , 10.24 , 24.57 , 86.37 , 627.6795777022371 , 11.500112304687498 , 11.079082031250001 , 3.8000704518075454,21.03793057,105.78543088
1047, 2.78 , 21.89 , 33.78 , 23.5 , 88.5 , 667.3305689904433 , 45.399165039062495 , 34.93140380859376 , 4.054696263030933,21.03281213,105.81257742
1051, 10.94 , 10.4 , 18.1 , 24.18 , 85.11 , 646.2859915122087 , 23.65587402343751 , 19.928212890625 , 3.917848802819211,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055,NA,NA,NA, 26.0 , 81.0 ,NA,NA,NA,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081, 8.33 , 6.67 , 10.33 , 25.06 , 81.28 , 1113.4030343255256 , 11.7878564453125 , 10.057131347656249 , 6.7296403946893815,21.0181984,105.7952921
1082,NA,NA,NA, 25.0 , 81.0 , 920.5583445226399 ,NA,NA, 5.565166541860115,21.053519,105.736145
1084, 7.0 , 5.67 , 12.25 , 25.82 , 81.0 , 791.5286209291235 , 16.773002929687504 , 16.064604492187502 , 4.772002601791693,21.0323170270326,105.7487245065
1086,NA,NA,NA, 25.75 , 78.0 , 800.1100365777853 ,NA,NA, 4.824868299479395,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA, 24.0 , 81.0 , 959.0495845412922 ,NA,NA, 5.817374019297165,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090, 7.52 , 6.35 , 11.58 , 24.4 , 81.0 , 801.4929236883551 , 17.503798828125 , 15.0720068359375 , 4.855135979156685,21.14768475,105.9158227
1091, 7.17 , 5.63 , 10.92 , 24.28 , 81.0 , 861.9476557282892 , 17.085590820312504 , 15.479577636718746 , 5.223454088046575,21.1315376994108,105.778015368578
