KIT ID, PM2.5, AQI PM2.5, PM10, AQI PM10, CO, AQI CO, latitude, longitude
1037,5.81,11.62,10.43,10.43,549.8701941070113,2.749350970535057,21.05226,105.8117
1038,5.25,10.5,10.0,10.0,537.715499106007,2.6885774955300348,21.00257,105.84653
1039,NA,NA,NA,NA,NA,NA,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,7.31,14.62,12.56,12.56,536.2171174341775,2.6810855871708874,20.99603,105.84455
1043,5.09,10.18,16.88,16.88,486.402123178073,2.432010615890365,21.04169108,105.80900309
1044,7.5,15.0,12.69,12.69,567.6597422998495,2.838298711499248,21.0822951059501,105.773392865282
1045,7.67,15.34,12.27,12.27,551.24297804845,2.75621489024225,21.02431735,105.82139752
1046,5.37,10.74,10.14,10.14,566.1294668099397,2.8306473340496985,21.03793057,105.78543088
1047,22.71,45.42,34.61,34.61,577.5593781611128,2.8877968908055642,21.03281213,105.81257742
1051,10.53,21.06,17.02,17.02,553.7644377361022,2.768822188680511,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1072,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,11.91,23.82,20.78,20.78,1050.0272229506556,5.250136114753278,21.0181984,105.7952921
1082,NA,NA,NA,NA,851.6053107743207,4.258026553871604,21.053519,105.736145
1084,8.86,17.72,14.29,14.29,709.9043682593857,3.5495218412969285,21.0323170270326,105.7487245065
1086,9.0,18.0,14.13,14.13,721.3152299618449,3.6065761498092246,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,6.6,13.2,10.87,10.87,839.5006895567924,4.197503447783962,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,10.19,20.38,16.04,16.04,704.9449325775616,3.524724662887808,21.14768475,105.9158227
1091,9.29,18.58,16.24,16.24,762.6489701029545,3.813244850514773,21.1315376994108,105.778015368578
1037,5.81,11.62,10.43,10.43,549.8701941070113,2.749350970535057,21.05226,105.8117
1038,5.25,10.5,10.0,10.0,537.715499106007,2.6885774955300348,21.00257,105.84653
1039,NA,NA,NA,NA,NA,NA,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,7.31,14.62,12.56,12.56,536.2171174341775,2.6810855871708874,20.99603,105.84455
1043,5.09,10.18,16.88,16.88,486.402123178073,2.432010615890365,21.04169108,105.80900309
1044,7.5,15.0,12.69,12.69,567.6597422998495,2.838298711499248,21.0822951059501,105.773392865282
1045,7.67,15.34,12.27,12.27,551.24297804845,2.75621489024225,21.02431735,105.82139752
1046,5.37,10.74,10.14,10.14,566.1294668099397,2.8306473340496985,21.03793057,105.78543088
1047,22.71,45.42,34.61,34.61,577.5593781611128,2.8877968908055642,21.03281213,105.81257742
1051,10.53,21.06,17.02,17.02,553.7644377361022,2.768822188680511,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1072,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,11.91,23.82,20.78,20.78,1050.0272229506556,5.250136114753278,21.0181984,105.7952921
1082,NA,NA,NA,NA,851.6053107743207,4.258026553871604,21.053519,105.736145
1084,8.86,17.72,14.29,14.29,709.9043682593857,3.5495218412969285,21.0323170270326,105.7487245065
1086,9.0,18.0,14.13,14.13,721.3152299618449,3.6065761498092246,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,6.6,13.2,10.87,10.87,839.5006895567924,4.197503447783962,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,10.19,20.38,16.04,16.04,704.9449325775616,3.524724662887808,21.14768475,105.9158227
1091,9.29,18.58,16.24,16.24,762.6489701029545,3.813244850514773,21.1315376994108,105.778015368578
1037,5.81,11.62,10.43,10.43,549.8701941070113,2.749350970535057,21.05226,105.8117
1038,5.25,10.5,10.0,10.0,537.715499106007,2.6885774955300348,21.00257,105.84653
1039,NA,NA,NA,NA,NA,NA,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,7.31,14.62,12.56,12.56,536.2171174341775,2.6810855871708874,20.99603,105.84455
1043,5.09,10.18,16.88,16.88,486.402123178073,2.432010615890365,21.04169108,105.80900309
1044,7.5,15.0,12.69,12.69,567.6597422998495,2.838298711499248,21.0822951059501,105.773392865282
1045,7.67,15.34,12.27,12.27,551.24297804845,2.75621489024225,21.02431735,105.82139752
1046,5.37,10.74,10.14,10.14,566.1294668099397,2.8306473340496985,21.03793057,105.78543088
1047,22.71,45.42,34.61,34.61,577.5593781611128,2.8877968908055642,21.03281213,105.81257742
1051,10.53,21.06,17.02,17.02,553.7644377361022,2.768822188680511,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1072,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,11.91,23.82,20.78,20.78,1050.0272229506556,5.250136114753278,21.0181984,105.7952921
1082,NA,NA,NA,NA,851.6053107743207,4.258026553871604,21.053519,105.736145
1084,8.86,17.72,14.29,14.29,709.9043682593857,3.5495218412969285,21.0323170270326,105.7487245065
1086,9.0,18.0,14.13,14.13,721.3152299618449,3.6065761498092246,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,6.6,13.2,10.87,10.87,839.5006895567924,4.197503447783962,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,10.19,20.38,16.04,16.04,704.9449325775616,3.524724662887808,21.14768475,105.9158227
1091,9.29,18.58,16.24,16.24,762.6489701029545,3.813244850514773,21.1315376994108,105.778015368578
1037,5.81,11.62,10.43,10.43,549.8701941070113,2.749350970535057,21.05226,105.8117
1038,5.25,10.5,10.0,10.0,537.715499106007,2.6885774955300348,21.00257,105.84653
1039,NA,NA,NA,NA,NA,NA,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041,7.31,14.62,12.56,12.56,536.2171174341775,2.6810855871708874,20.99603,105.84455
1043,5.09,10.18,16.88,16.88,486.402123178073,2.432010615890365,21.04169108,105.80900309
1044,7.5,15.0,12.69,12.69,567.6597422998495,2.838298711499248,21.0822951059501,105.773392865282
1045,7.67,15.34,12.27,12.27,551.24297804845,2.75621489024225,21.02431735,105.82139752
1046,5.37,10.74,10.14,10.14,566.1294668099397,2.8306473340496985,21.03793057,105.78543088
1047,22.71,45.42,34.61,34.61,577.5593781611128,2.8877968908055642,21.03281213,105.81257742
1051,10.53,21.06,17.02,17.02,553.7644377361022,2.768822188680511,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055,NA,NA,NA,NA,NA,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,11.91,23.82,20.78,20.78,1050.0272229506556,5.250136114753278,21.0181984,105.7952921
1082,NA,NA,NA,NA,851.6053107743207,4.258026553871604,21.053519,105.736145
1084,8.86,17.72,14.29,14.29,709.9043682593857,3.5495218412969285,21.0323170270326,105.7487245065
1086,9.0,18.0,14.13,14.13,721.3152299618449,3.6065761498092246,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,6.6,13.2,10.87,10.87,839.5006895567924,4.197503447783962,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,10.19,20.38,16.04,16.04,704.9449325775616,3.524724662887808,21.14768475,105.9158227
1091,9.29,18.58,16.24,16.24,762.6489701029545,3.813244850514773,21.1315376994108,105.778015368578
