KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05226,105.8117
1038, 25.0 , 31.39 , 33.48 ,NA,NA,NA,NA,NA,NA,21.00257,105.84653
1039, 19.19 , 16.95 , 27.72 , 32.7 , 63.91 , 656.6365612013733 ,NA,NA,NA,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 21.52 , 21.44 , 31.13 , 29.81 , 69.72 , 614.0847542741452 ,NA,NA,NA,20.99603,105.84455
1043, 38.81 , 51.88 , 74.18 , 30.44 , 69.09 , 495.36857680597194 ,NA,NA,NA,21.04169108,105.80900309
1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0822951059501,105.773392865282
1045, 28.27 , 36.54 , 39.06 ,NA,NA,NA,NA,NA,NA,21.02431735,105.82139752
1046, 26.35 , 31.48 , 41.41 , 31.52 , 71.73 , 801.0518709545411 ,NA,NA,NA,21.03793057,105.78543088
1047, 14.0 , 17.72 , 21.36 , 31.76 , 68.83 , 558.9601867402349 ,NA,NA,NA,21.03281213,105.81257742
1051, 18.18 , 31.27 , 30.1 , 30.22 , 81.53 , 621.51355669051 ,NA,NA,NA,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 20.71 , 34.01 , 37.03 , 31.28 , 77.72 ,NA,NA,NA,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0181984,105.7952921
1082, 10.0 , 25.0 , 100.0 , 25.4 , 55.03 , 41.47642554011054 ,NA,NA,NA,21.053519,105.736145
1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.14768475,105.9158227
1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1315376994108,105.778015368578
