KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05226,105.8117
1038, 14.6 , 16.8 , 17.6 ,NA,NA,NA, 48.590312499999996 , 25.60984375 ,NA,21.00257,105.84653
1039, 14.21 , 19.82 , 20.46 , 28.09 , 75.99 , 647.5573256038376 , 49.4733544921875 , 28.754765625000005 , 3.8746032811446716,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 17.5 , 24.85 , 26.62 , 27.33 , 78.65 , 664.0582641784146 , 60.195390625 , 35.57487548828126 , 3.9833849237542145,20.99603,105.84455
1043, 21.0 , 30.49 , 38.4 , 27.68 , 75.86 , 420.26477973423533 , 82.503984375 , 56.11052490234375 , 2.5180451434727398,21.04169108,105.80900309
1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0822951059501,105.773392865282
1045, 16.75 , 20.94 , 21.94 ,NA,NA,NA, 52.22254882812501 , 27.9115087890625 ,NA,21.02431735,105.82139752
1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03793057,105.78543088
1047, 7.02 , 14.6 , 12.05 , 27.3 , 79.46 , 492.440222398652 , 33.41971679687501 , 15.612998046875 , 2.9542209286104333,21.03281213,105.81257742
1051, 20.42 , 30.55 , 31.97 , 27.18 , 81.53 , 610.1304556065328 , 72.60870117187501 , 41.495649414062505 , 3.661724349415755,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055, 14.36 , 26.97 , 25.04 , 27.4 , 81.53 ,NA, 63.86169921875 , 34.40156982421875 ,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.08284,105.779777
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.037454,105.784927
1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.14768475,105.9158227
1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1315376994108,105.778015368578
